"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-10","2008-03-26",1023,"CORONEL VIDAL","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Jurídica","MAR CHIQUITA","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-17","2007-12-05",8011,"PARANA Nº 1","Entre Ríos","Nacional","2007","","AMBULANCIA","29","MERCEDES BENZ","AS","SPRINTER 311 CDI/F 3000","0","Oficial","Jurídica","PARANA","ENTRE RIOS","No aplica","1900","No aplica",100,"30",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-18","1976-01-28",9005,"FORMOSA Nº 3","Formosa","Nacional","","","SEMIRREMOLQUE TANQUE","99","INDECAR","99","1975","1","Privado","Jurídica","FORMOSA","FORMOSA","No aplica","2004","No aplica",100,"34",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-30","1992-05-14",11011,"GENERAL PICO N° 3","La Pampa","Importado","1992","","RURAL","126","SUBARU","012","LEGACY STATION WAGON 2.2 4WD GX AT","1","Privado","Física","GENERAL PICO","LA PAMPA","No identificado","1987","Argentina",100,"42","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-26","1971-07-29",13001,"MENDOZA Nº 01","Mendoza","Nacional","1963","","AUTOMOVIL","","CHEVROLET","","CHEVROLET 469","1","Privado","Física","COLONIA SEGOVIA","MENDOZA","Masculino","1986","Argentina",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-22","1999-04-22",13018,"MENDOZA Nº 11","Mendoza","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4P GL 1.7 DIESEL C/","1","Privado","Física","GODOY CRUZ","MENDOZA","Masculino","1981","Argentina",100,"50","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-02","1994-04-19",13030,"MENDOZA Nº 18","Mendoza","Importado","1994","","UNIDAD TRACTORA","","MERCEDES BENZ","","L-1941","1","Privado","Jurídica","RODEO DE LA CRUZ","MENDOZA","No aplica","2012","No aplica",100,"50",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-30","1996-10-23",15009,"CHOS MALAL","Neuquén","Nacional","1995","","BERLINA 5 PTAS","37","RENAULT","AH","R 19 RN INYEC.(BIC)","1","Privado","Física","CHOS MALAL","NEUQUEN","Masculino","1959","Argentina",100,"58","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-10","1999-02-05",16003,"GENERAL ROCA Nº 1","Río Negro","Nacional","1999","","BERLINA 4 PTAS","37","RENAULT","CK","MEGANE RT TRIC 2.0","1","Privado","Física","GENERAL ROCA","RIO NEGRO","Masculino","1982","Argentina",100,"62","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-30","1999-02-26",21016,"ROSARIO Nº 04","Santa Fe","Nacional","1999","","BERLINA 4 PTAS","37","RENAULT","CL","MEGANE RXE TRIC ABCP","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1973","Argentina",100,"82","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-10-04","2008-07-31",21049,"ROSARIO Nº 11","Santa Fe","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Jurídica","ROSARIO","SANTA FE","No aplica","2004","No aplica",100,"82",""
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-10","1997-05-09",21049,"ROSARIO Nº 11","Santa Fe","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RN 3PTAS PACK AA","1","Privado","Física","PEREZ","SANTA FE","Masculino","1933","Argentina",100,"82","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-10-23","1998-09-16",1032,"GENERAL ARENALES","Buenos Aires","Nacional","1998","","BERLINA 3TAS AA","37","RENAULT","65","CLIO RL 3 PTAS. AA","1","Privado","Física","ARRIBEÑOS","BUENOS AIRES","No identificado","1985","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-10-01","2008-07-29",1035,"GENERAL MADARIAGA","Buenos Aires","Nacional","2008","","UTILITARIO","08","CHEVROLET","BR","CORSA CLASSIC 3 P CARGO 1.6N","1","Privado","Física","GENERAOL MADARIAGA","BUENOS AIRES","Masculino","1986","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-11","2000-05-10",1035,"GENERAL MADARIAGA","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P (AA-DP)","1","Privado","Física","GENERAL MADARIAGA","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA P/DEST/SIN/DESG/ENVEJ.","2018-10-16","1998-10-07",1042,"JUNIN Nº 1","Buenos Aires","Nacional","1998","","S.WAGON","08","CHEVROLET","56","CORSA WAGON GL 1.7 D/1998","1","Privado","Física","JUNIN","BUENOS AIRES","Masculino","1979","Argentina",100,"06","ARG"
"AUTOMOTOR - BAJA C/RECUPERACION DE PIEZAS","2018-10-12","1999-06-11",1044,"LA PLATA Nº 02","Buenos Aires","Nacional","1999","","BERLINA 5 PUERTAS","37","RENAULT","CD","CLIO RL DIESEL 5 PTAS DA","1","Privado","Física","LOS HORNOS","BUENOS AIRES","Femenino","1986","Argentina",100,"06","ARG"
